store_id,time_slot,is_peak_hour,avg_wait_time,avg_table_turnover,target_revenue
S001,10:00-12:00,False,10,1.1,592
S001,12:00-14:00,True,23,2.7,4255
S001,14:00-16:00,False,5,0.9,2045
S001,16:00-18:00,False,2,0.8,2271
S001,18:00-20:00,True,19,2.5,3108
S001,20:00-22:00,False,2,1.6,1650
S002,10:00-12:00,False,6,1.7,1330
S002,12:00-14:00,True,13,1.6,5227
S002,14:00-16:00,False,5,1.1,2334
S002,16:00-18:00,False,2,2.0,680
S002,18:00-20:00,True,23,3.6,6566
S002,20:00-22:00,False,10,1.9,2501
S003,10:00-12:00,False,5,1.7,693
S003,12:00-14:00,True,14,2.4,7899
S003,14:00-16:00,False,7,1.3,2435
S003,16:00-18:00,False,10,1.0,2020
S003,18:00-20:00,True,22,2.9,5627
S003,20:00-22:00,False,7,1.3,2876
S004,10:00-12:00,False,8,1.2,1923
S004,12:00-14:00,True,14,1.9,7051
S004,14:00-16:00,False,10,1.3,2268
S004,16:00-18:00,False,3,1.5,1063
S004,18:00-20:00,True,15,3.8,6822
S004,20:00-22:00,False,9,1.7,1172
S005,10:00-12:00,False,2,1.2,1094
S005,12:00-14:00,True,24,2.4,4306
S005,14:00-16:00,False,4,2.0,1343
S005,16:00-18:00,False,8,0.9,2216
S005,18:00-20:00,True,8,4.0,7456
S005,20:00-22:00,False,2,1.4,2857
S006,10:00-12:00,False,2,1.1,2754
S006,12:00-14:00,True,10,3.3,5743
S006,14:00-16:00,False,9,0.9,2029
S006,16:00-18:00,False,10,1.9,2642
S006,18:00-20:00,True,17,2.0,5876
S006,20:00-22:00,False,8,1.6,935
S007,10:00-12:00,False,5,1.6,2358
S007,12:00-14:00,True,9,3.6,4542
S007,14:00-16:00,False,2,1.9,2566
S007,16:00-18:00,False,3,1.4,795
S007,18:00-20:00,True,14,2.1,6326
S007,20:00-22:00,False,6,1.8,2719
S008,10:00-12:00,False,3,1.9,1282
S008,12:00-14:00,True,5,1.5,5423
S008,14:00-16:00,False,3,1.0,792
S008,16:00-18:00,False,3,1.1,987
S008,18:00-20:00,True,18,3.9,6301
S008,20:00-22:00,False,2,1.6,1729
S009,10:00-12:00,False,7,1.3,1353
S009,12:00-14:00,True,14,2.6,7830
S009,14:00-16:00,False,9,1.6,2930
S009,16:00-18:00,False,2,1.6,629
S009,18:00-20:00,True,20,2.3,3254
S009,20:00-22:00,False,6,1.6,2071
S010,10:00-12:00,False,10,1.7,2231
S010,12:00-14:00,True,23,3.1,5875
S010,14:00-16:00,False,9,2.0,2056
S010,16:00-18:00,False,2,2.0,855
S010,18:00-20:00,True,20,2.1,3754
S010,20:00-22:00,False,3,1.1,885
