order_item_id,order_id,dish_id,dish_name,quantity,unit_price,subtotal,cost
OI001000_001,O001000,D0012,拍黄瓜,1,13.71,13.71,5.17
OI001000_002,O001000,D0033,柠檬水,1,29.07,29.07,10.18
OI001000_003,O001000,D0010,口水鸡,2,21.01,42.02,13.5
OI001000_004,O001000,D0028,可乐,3,50.33,150.99,67.08
OI001000_005,O001000,D0023,紫菜蛋花汤,2,36.96,73.92,33.22
OI001000_006,O001000,D0015,米饭,3,52.56,157.68,61.02
OI001001_007,O001001,D0009,凉拌黄瓜,1,30.24,30.24,11.4
OI001001_008,O001001,D0015,米饭,2,52.56,105.12,40.68
OI001001_009,O001001,D0011,夫妻肺片,1,29.36,29.36,12.84
OI001001_010,O001001,D0018,包子,1,78.11,78.11,24.44
OI001002_011,O001002,D0024,酸辣汤,2,48.76,97.52,26.16
OI001002_012,O001002,D0014,蒜泥白肉,2,29.6,59.2,25.76
OI001002_013,O001002,D0020,馒头,2,44.71,89.42,27.1
OI001003_014,O001003,D0032,咖啡,2,8.26,16.52,6.52
OI001003_015,O001003,D0035,蛋糕,1,31.88,31.88,12.04
OI001003_016,O001003,D0034,冰淇淋,2,48.61,97.22,26.38
OI001003_017,O001003,D0002,鱼香肉丝,2,41.81,83.62,25.56
OI001003_018,O001003,D0006,水煮鱼,3,31.45,94.35,35.46
OI001003_019,O001003,D0010,口水鸡,1,21.01,21.01,6.75
OI001004_020,O001004,D0036,布丁,2,23.91,47.82,15.54
OI001004_021,O001004,D0030,橙汁,3,68.07,204.21,82.44
OI001004_022,O001004,D0020,馒头,3,44.71,134.13,40.65
OI001005_023,O001005,D0001,宫保鸡丁,1,72.75,72.75,18.28
OI001006_024,O001006,D0013,凉拌木耳,2,66.33,132.66,37.5
OI001007_025,O001007,D0034,冰淇淋,1,48.61,48.61,13.19
OI001007_026,O001007,D0002,鱼香肉丝,1,41.81,41.81,12.78
OI001008_027,O001008,D0025,排骨汤,2,76.89,153.78,43.14
OI001008_028,O001008,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001008_029,O001008,D0035,蛋糕,1,31.88,31.88,12.04
OI001008_030,O001008,D0017,炒饭,3,40.09,120.27,31.65
OI001008_031,O001008,D0039,红豆沙,1,9.56,9.56,4.17
OI001009_032,O001009,D0011,夫妻肺片,2,29.36,58.72,25.68
OI001009_033,O001009,D0026,鸡汤,2,71.37,142.74,47.74
OI001009_034,O001009,D0006,水煮鱼,1,31.45,31.45,11.82
OI001009_035,O001009,D0037,西米露,2,51.15,102.3,41.5
OI001009_036,O001009,D0023,紫菜蛋花汤,3,36.96,110.88,49.83
OI001010_037,O001010,D0038,双皮奶,3,81.48,244.44,90.39
OI001010_038,O001010,D0029,雪碧,1,62.42,62.42,17.04
OI001011_039,O001011,D0032,咖啡,3,8.26,24.78,9.78
OI001011_040,O001011,D0007,回锅肉,1,23.38,23.38,6.17
OI001012_041,O001012,D0009,凉拌黄瓜,2,30.24,60.48,22.8
OI001012_042,O001012,D0013,凉拌木耳,3,66.33,198.99,56.25
OI001012_043,O001012,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001012_044,O001012,D0038,双皮奶,3,81.48,244.44,90.39
OI001013_045,O001013,D0001,宫保鸡丁,3,72.75,218.25,54.84
OI001013_046,O001013,D0027,豆腐汤,2,38.78,77.56,28.64
OI001013_047,O001013,D0008,小炒黄牛肉,2,86.82,173.64,73.12
OI001013_048,O001013,D0021,葱油饼,3,67.6,202.8,72.57
OI001013_049,O001013,D0012,拍黄瓜,1,13.71,13.71,5.17
OI001014_050,O001014,D0025,排骨汤,2,76.89,153.78,43.14
OI001014_051,O001014,D0022,番茄蛋汤,1,54.77,54.77,23.53
OI001014_052,O001014,D0012,拍黄瓜,1,13.71,13.71,5.17
OI001014_053,O001014,D0005,糖醋排骨,3,17.99,53.97,23.46
OI001014_054,O001014,D0031,奶茶,1,16.92,16.92,5.7
OI001014_055,O001014,D0007,回锅肉,1,23.38,23.38,6.17
OI001015_056,O001015,D0028,可乐,2,50.33,100.66,44.72
OI001015_057,O001015,D0015,米饭,2,52.56,105.12,40.68
OI001015_058,O001015,D0016,面条,2,26.32,52.64,13.5
OI001016_059,O001016,D0024,酸辣汤,3,48.76,146.28,39.24
OI001016_060,O001016,D0027,豆腐汤,2,38.78,77.56,28.64
OI001016_061,O001016,D0002,鱼香肉丝,3,41.81,125.43,38.34
OI001016_062,O001016,D0025,排骨汤,2,76.89,153.78,43.14
OI001016_063,O001016,D0015,米饭,3,52.56,157.68,61.02
OI001017_064,O001017,D0023,紫菜蛋花汤,1,36.96,36.96,16.61
OI001017_065,O001017,D0031,奶茶,3,16.92,50.76,17.1
OI001017_066,O001017,D0008,小炒黄牛肉,2,86.82,173.64,73.12
OI001017_067,O001017,D0010,口水鸡,3,21.01,63.03,20.25
OI001017_068,O001017,D0014,蒜泥白肉,1,29.6,29.6,12.88
OI001018_069,O001018,D0034,冰淇淋,2,48.61,97.22,26.38
OI001019_070,O001019,D0022,番茄蛋汤,2,54.77,109.54,47.06
OI001019_071,O001019,D0025,排骨汤,1,76.89,76.89,21.57
OI001019_072,O001019,D0018,包子,1,78.11,78.11,24.44
OI001020_073,O001020,D0038,双皮奶,2,81.48,162.96,60.26
OI001021_074,O001021,D0031,奶茶,3,16.92,50.76,17.1
OI001021_075,O001021,D0033,柠檬水,1,29.07,29.07,10.18
OI001022_076,O001022,D0014,蒜泥白肉,1,29.6,29.6,12.88
OI001022_077,O001022,D0001,宫保鸡丁,1,72.75,72.75,18.28
OI001022_078,O001022,D0011,夫妻肺片,3,29.36,88.08,38.52
OI001022_079,O001022,D0026,鸡汤,1,71.37,71.37,23.87
OI001023_080,O001023,D0018,包子,3,78.11,234.33,73.32
OI001023_081,O001023,D0003,麻婆豆腐,2,16.18,32.36,10.54
OI001024_082,O001024,D0022,番茄蛋汤,2,54.77,109.54,47.06
OI001025_083,O001025,D0026,鸡汤,1,71.37,71.37,23.87
OI001025_084,O001025,D0013,凉拌木耳,2,66.33,132.66,37.5
OI001026_085,O001026,D0013,凉拌木耳,3,66.33,198.99,56.25
OI001026_086,O001026,D0036,布丁,3,23.91,71.73,23.31
OI001026_087,O001026,D0009,凉拌黄瓜,1,30.24,30.24,11.4
OI001027_088,O001027,D0034,冰淇淋,1,48.61,48.61,13.19
OI001027_089,O001027,D0010,口水鸡,1,21.01,21.01,6.75
OI001027_090,O001027,D0029,雪碧,3,62.42,187.26,51.12
OI001027_091,O001027,D0006,水煮鱼,1,31.45,31.45,11.82
OI001027_092,O001027,D0009,凉拌黄瓜,2,30.24,60.48,22.8
OI001027_093,O001027,D0004,红烧肉,2,56.3,112.6,46.32
OI001028_094,O001028,D0037,西米露,2,51.15,102.3,41.5
OI001028_095,O001028,D0025,排骨汤,3,76.89,230.67,64.71
OI001028_096,O001028,D0018,包子,1,78.11,78.11,24.44
OI001029_097,O001029,D0037,西米露,2,51.15,102.3,41.5
OI001030_098,O001030,D0014,蒜泥白肉,3,29.6,88.8,38.64
OI001031_099,O001031,D0021,葱油饼,3,67.6,202.8,72.57
OI001031_100,O001031,D0033,柠檬水,2,29.07,58.14,20.36
OI001031_101,O001031,D0018,包子,1,78.11,78.11,24.44
OI001031_102,O001031,D0031,奶茶,1,16.92,16.92,5.7
