promotion_id,promotion_name,promotion_type,discount_value,min_amount,start_date,end_date,store_id,status,budget
P0001,新店开业优惠1,满减,57.0,171,2024-01-19,2024-03-17,S006,已结束,47824.8
P0002,周末特惠2,折扣,0.92,0,2024-01-19,2024-02-16,S002,未开始,47382.54
P0003,夏日清凉3,买赠,76.0,50,2024-01-24,2024-02-21,S001,已结束,47409.9
P0004,新店开业优惠4,套餐,35.0,50,2024-02-12,2024-03-28,S002,已结束,14249.77
P0005,夏日清凉5,买赠,48.0,50,2024-02-18,2024-03-22,S005,已结束,15689.67
P0006,周末特惠6,买赠,77.0,50,2024-01-13,2024-02-14,S001,已结束,5171.7
P0007,周末特惠7,买赠,76.0,50,2024-01-23,2024-02-17,S002,进行中,14312.88
P0008,会员专享8,套餐,29.0,50,2024-03-15,2024-03-27,S007,已结束,27009.36
P0009,周末特惠9,买赠,64.0,50,2024-03-08,2024-03-20,S006,已结束,21623.07
P0010,节日促销10,优惠券,38.0,76,2024-04-24,2024-05-03,S005,进行中,42668.54
P0011,夏日清凉11,折扣,0.89,0,2024-05-24,2024-06-03,S002,进行中,35066.35
P0012,周年庆典12,买赠,44.0,50,2024-05-18,2024-06-20,S001,已结束,41828.23
P0013,节日促销13,套餐,45.0,50,2024-04-17,2024-05-28,S005,进行中,22766.2
P0014,新店开业优惠14,买赠,33.0,50,2024-01-09,2024-02-17,S008,进行中,47707.77
P0015,节日促销15,折扣,0.73,0,2024-02-12,2024-03-03,S002,未开始,24592.7
