refund_id,order_id,store_id,order_item_id,dish_id,dish_name,refund_amount,refund_reason,refund_time,is_full_refund,handled_by
R00001,O001830,S007,OI001830_2924,D0008,小炒黄牛肉,219.86,价格争议,2024-06-04 11:56:00,False,客服5
R00002,O001440,S001,OI001440_1557,D0015,米饭,70.47,口味不符,2024-03-29 15:03:00,False,客服4
R00003,O001987,S008,OI001987_3454,D0037,西米露,50.27,上菜太慢,2024-05-18 21:02:00,True,客服10
R00004,O001159,S004,OI001159_562,D0031,奶茶,10.47,口味不符,2024-01-11 17:28:00,True,客服8
R00005,O001418,S008,OI001418_1491,D0001,宫保鸡丁,53.46,口味不符,2024-05-16 19:16:00,False,客服9
R00006,O001008,S007,OI001008_027,D0025,排骨汤,106.43,菜品质量问题,2024-04-02 21:40:00,False,客服2
R00007,O001573,S002,OI001573_2034,D0032,咖啡,12.32,口味不符,2024-01-22 23:23:00,False,客服2
R00008,O001550,S003,OI001550_1953,D0017,炒饭,27.85,服务态度,2024-05-04 10:56:00,False,客服3
R00009,O001778,S002,OI001778_2737,D0029,雪碧,115.34,价格争议,2024-02-19 14:35:00,False,客服4
R00010,O001124,S002,OI001124_436,D0035,蛋糕,26.03,上菜太慢,2024-06-07 12:56:00,False,客服10
R00011,O001943,S007,OI001943_3294,D0014,蒜泥白肉,69.35,服务态度,2024-06-13 15:08:00,False,客服6
R00012,O001587,S005,OI001587_2078,D0012,拍黄瓜,13.61,服务态度,2024-04-24 23:17:00,True,客服4
R00013,O001032,S006,OI001032_104,D0015,米饭,42.18,口味不符,2024-06-13 14:16:00,True,客服4
R00014,O001963,S005,OI001963_3371,D0031,奶茶,30.44,口味不符,2024-04-04 21:47:00,True,客服7
R00015,O001789,S003,OI001789_2777,D0012,拍黄瓜,23.32,服务态度,2024-04-04 12:38:00,True,客服5
R00016,O001387,S004,OI001387_1355,D0013,凉拌木耳,79.88,价格争议,2024-06-10 12:42:00,True,客服1
R00017,O001316,S010,OI001316_1099,D0022,番茄蛋汤,135.06,其他,2024-01-14 12:34:00,True,客服6
R00018,O001895,S005,OI001895_3152,D0016,面条,46.74,服务态度,2024-04-26 19:44:00,False,客服7
R00019,O001901,S006,OI001901_3166,D0023,紫菜蛋花汤,42.76,口味不符,2024-02-27 22:15:00,False,客服2
R00020,O001508,S004,OI001508_1792,D0030,橙汁,148.66,价格争议,2024-02-05 11:13:00,False,客服5
R00021,O001383,S009,OI001383_1345,D0003,麻婆豆腐,25.67,上菜太慢,2024-04-16 18:10:00,True,客服2
R00022,O001029,S006,OI001029_097,D0037,西米露,95.53,菜品质量问题,2024-01-27 20:06:00,False,客服6
R00023,O001268,S009,OI001268_933,D0011,夫妻肺片,19.31,上菜太慢,2024-04-19 23:37:00,False,客服9
R00024,O001662,S001,OI001662_2328,D0002,鱼香肉丝,68.1,菜品质量问题,2024-02-08 18:04:00,False,客服7
R00025,O001945,S002,OI001945_3303,D0019,饺子,95.4,上菜太慢,2024-01-11 15:02:00,True,客服5
R00026,O001993,S007,OI001993_3473,D0027,豆腐汤,60.71,价格争议,2024-04-28 17:21:00,True,客服9
R00027,O001705,S008,OI001705_2505,D0036,布丁,20.6,菜品质量问题,2024-02-21 17:37:00,True,客服8
R00028,O001370,S010,OI001370_1295,D0037,西米露,49.28,菜品质量问题,2024-01-25 18:09:00,True,客服2
R00029,O001374,S004,OI001374_1311,D0003,麻婆豆腐,28.24,口味不符,2024-03-18 12:49:00,True,客服2
R00030,O001457,S005,OI001457_1613,D0037,西米露,100.88,价格争议,2024-02-05 22:40:00,True,客服7
R00031,O001082,S004,OI001082_295,D0032,咖啡,21.69,价格争议,2024-06-16 12:46:00,False,客服9
R00032,O001690,S002,OI001690_2440,D0027,豆腐汤,59.13,菜品质量问题,2024-05-02 15:50:00,False,客服3
R00033,O001637,S008,OI001637_2248,D0009,凉拌黄瓜,55.12,口味不符,2024-02-15 22:30:00,True,客服8
R00034,O001720,S002,OI001720_2550,D0012,拍黄瓜,15.29,上菜太慢,2024-04-28 17:19:00,True,客服4
R00035,O001468,S006,OI001468_1651,D0010,口水鸡,34.56,菜品质量问题,2024-06-03 14:54:00,True,客服1
R00036,O001012,S002,OI001012_044,D0038,双皮奶,225.24,其他,2024-04-18 17:32:00,False,客服1
R00037,O001027,S010,OI001027_090,D0029,雪碧,114.14,菜品质量问题,2024-06-08 11:17:00,True,客服3
R00038,O001354,S010,OI001354_1245,D0021,葱油饼,89.2,口味不符,2024-05-08 18:58:00,False,客服1
R00039,O001103,S009,OI001103_377,D0033,柠檬水,51.32,口味不符,2024-01-19 19:31:00,True,客服7
R00040,O001333,S009,OI001333_1167,D0021,葱油饼,36.1,口味不符,2024-04-28 18:10:00,True,客服4
R00041,O001098,S002,OI001098_359,D0016,面条,41.66,上菜太慢,2024-01-10 21:34:00,False,客服2
R00042,O001960,S008,OI001960_3356,D0004,红烧肉,52.97,口味不符,2024-04-07 11:51:00,True,客服7
R00043,O001152,S002,OI001152_542,D0003,麻婆豆腐,9.32,上菜太慢,2024-06-11 17:02:00,False,客服5
R00044,O001780,S008,OI001780_2746,D0009,凉拌黄瓜,20.78,口味不符,2024-05-27 20:37:00,True,客服4
R00045,O001122,S009,OI001122_432,D0012,拍黄瓜,25.84,口味不符,2024-02-12 13:29:00,False,客服5
R00046,O001484,S008,OI001484_1702,D0021,葱油饼,37.83,服务态度,2024-05-10 21:33:00,False,客服1
R00047,O001528,S002,OI001528_1867,D0014,蒜泥白肉,47.46,服务态度,2024-06-13 22:31:00,False,客服4
R00048,O001274,S009,OI001274_959,D0012,拍黄瓜,22.88,上菜太慢,2024-04-08 16:28:00,True,客服4
R00049,O001388,S002,OI001388_1359,D0030,橙汁,59.89,上菜太慢,2024-03-26 13:51:00,False,客服4
R00050,O001894,S010,OI001894_3149,D0034,冰淇淋,132.55,口味不符,2024-02-11 17:16:00,False,客服1
R00051,O001938,S005,OI001938_3276,D0034,冰淇淋,118.57,其他,2024-02-25 16:28:00,False,客服4
R00052,O001258,S005,OI001258_908,D0033,柠檬水,44.64,口味不符,2024-06-26 10:49:00,True,客服3
R00053,O001636,S008,OI001636_2245,D0029,雪碧,112.95,价格争议,2024-01-19 19:22:00,False,客服6
R00054,O001365,S007,OI001365_1279,D0027,豆腐汤,115.42,服务态度,2024-06-14 21:36:00,True,客服8
R00055,O001758,S001,OI001758_2671,D0017,炒饭,31.29,服务态度,2024-04-24 17:00:00,True,客服2
R00056,O001862,S010,OI001862_3038,D0011,夫妻肺片,32.51,口味不符,2024-03-26 21:32:00,True,客服10
R00057,O001916,S004,OI001916_3206,D0036,布丁,66.61,菜品质量问题,2024-04-24 11:05:00,True,客服5
R00058,O001236,S008,OI001236_840,D0039,红豆沙,13.21,服务态度,2024-06-12 17:16:00,True,客服2
R00059,O001477,S009,OI001477_1682,D0011,夫妻肺片,20.08,菜品质量问题,2024-01-14 20:32:00,True,客服7
R00060,O001852,S005,OI001852_3009,D0003,麻婆豆腐,45.54,其他,2024-02-18 22:12:00,False,客服7
R00061,O001913,S009,OI001913_3198,D0031,奶茶,17.3,其他,2024-05-28 22:33:00,True,客服2
R00062,O001347,S009,OI001347_1222,D0013,凉拌木耳,75.74,价格争议,2024-04-28 14:24:00,True,客服2
R00063,O001467,S005,OI001467_1650,D0039,红豆沙,8.34,其他,2024-05-27 16:14:00,True,客服8
R00064,O001523,S009,OI001523_1848,D0003,麻婆豆腐,8.21,上菜太慢,2024-03-23 20:16:00,True,客服8
